"Timestamp","¿En qué fecha realizó los contactos?","Coloque la sede a la pertenecen los alumnos contactados:","Coloque la categoría a la pertenecen los alumnos contactados:","¿Realizó llamadas?","Cantidad de llamadas realizadas (sólo colocar el número de llamadas realizadas):","Cantidad de llamadas efectivas (sólo colocar el número de llamadas efectivas, si ninguna fue efectiva colocar 0):","¿Envío mensajes de contacto?","Cantidad de mensajes  enviados (colocar el número total de mensajes que envío para esta categoría):","Cantidad de mensajes que obtuvieron respuesta (colocar el número de respuestas que obtuvo de sus mensajes enviados):","¿Envío trabajos (entrenamientos)?","¿Cuántos ejercicios diferentes envío?","Que usted sepa, ¿cuántos de sus alumnos de esta categoría recibieron la unidad de entrenamiento?","Según usted, ¿cuántos de sus alumnos de esta categoría realizaron los trabajos?","Si tiene algún comentario o sugerencia escríbalo aquí:"
"2020/07/30 12:19:03 PM CDT","2020-07-29","Gerona","Infantil","Sí","9","6","Sí","9","6","Sí","3","5","5","Muchas gracias"
"2020/07/30 12:19:59 PM CDT","2020-07-29","Gerona","Intermedia","Sí","15","9","Sí","15","9","Sí","3","5","5","Muchas gracias"
"2020/07/30 12:20:51 PM CDT","2020-07-29","Gerona","Juvenil","Sí","15","9","Sí","15","9","Sí","3","5","5","Muchas gracias"
"2020/07/30 12:31:39 PM CDT","2020-07-30","Milles Rock","Intermedia","Sí","15","13","Sí","15","13","Sí","1","5","5",""
"2020/07/30 1:11:06 PM CDT","2020-07-30","Campo Marte","Juvenil","Sí","8","7","Sí","9","8","Sí","5","5","5",""
"2020/07/30 1:17:44 PM CDT","2020-07-30","Campo Marte","Moscos","No","","","Sí","23","16","Sí","1","5","3",""
"2020/07/30 1:43:38 PM CDT","2020-07-30","Campo Marte","Infantil","Sí","15","13","No","","","No","","","",""
"2020/07/30 1:59:04 PM CDT","2020-07-30","Milles Rock","Moscos","Sí","5","3","Sí","7","13","Sí","3","4","3",""
"2020/07/30 2:04:59 PM CDT","2020-07-30","Milles Rock","Juvenil","Sí","8","7","Sí","7","7","No","","","",""
"2020/07/30 2:05:42 PM CDT","2020-07-30","Justo Rufino Barrios","Infantil","No","","","Sí","11","11","Sí","1","5","5",""
"2020/07/30 2:06:06 PM CDT","2020-07-30","Justo Rufino Barrios","Intermedia","No","","","Sí","3","10","Sí","3","4","3",""
"2020/07/30 2:07:08 PM CDT","2020-07-30","Justo Rufino Barrios","Juvenil","No","","","Sí","12","12","Sí","1","5","5",""
"2020/07/30 2:25:16 PM CDT","2020-07-30","Campo Marte","Intermedia","Sí","15","7","Sí","15","5","No","","","",""
"2020/07/30 2:33:04 PM CDT","2020-07-30","Capitalinos B-EMEFUT","Sub-18","Sí","20","16","Sí","20","16","Sí","5","5","5","Se envió a los alumnos informacion por medio de teletrabajo,llamadas,mensajes por wat shap y videos de entrenamiento,así como llamadas a los padres de familia,seguimiento por medio de enlaces y link. Todo en base a la planificación según Microciclo de actividades deportivas."
"2020/07/30 2:35:51 PM CDT","2020-07-30","Castillo Lara","Infantil","No","","","Sí","13","5","Sí","2","4","2",""
"2020/07/30 3:12:26 PM CDT","2020-07-30","Maestro","Infantil","No","","","Sí","5","16","Sí","4","4","2","SE ENVIÓ EJERCICIOS COMO PARA INFANTIL E INTERMEDIA."
"2020/07/30 3:15:35 PM CDT","2020-07-30","Chácara","Infantil","No","","","Sí","10","10","Sí","5","5","5","Todo bien gracias "
"2020/07/30 3:17:13 PM CDT","2020-07-30","San Francisco de Asís","Intermedia","Sí","4","2","Sí","10","10","Sí","2","5","2",""
"2020/07/30 3:18:33 PM CDT","2020-07-30","Bethania","Infantil","No","","","Sí","20","15","Sí","3","5","3",""
"2020/07/30 3:21:14 PM CDT","2020-07-30","Santa Fe","Infantil","No","","","Sí","14","6","Sí","5","1","0",""
"2020/07/30 3:21:53 PM CDT","2020-07-30","Alameda","Intermedia","No","","","Sí","14","14","Sí","3","5","3",""
"2020/07/30 3:35:10 PM CDT","2020-07-29","Santa Fe","Juvenil","No","","","Sí","15","9","Sí","5","5","2",""
"2020/07/30 3:35:47 PM CDT","2020-07-30","Santa Fe","Moscos","No","","","Sí","9","4","Sí","4","5","1",""
"2020/07/30 3:36:18 PM CDT","2020-07-30","Santa Fe","Juvenil","No","","","Sí","15","5","Sí","6","5","2",""
"2020/07/30 3:48:53 PM CDT","2020-07-30","Chácara","Intermedia","Sí","15","12","Sí","15","12","Sí","4","5","5",""
"2020/07/30 4:12:00 PM CDT","2020-07-30","Paraiso 2","Moscos","No","","","Sí","30 ","5","Sí","1","5","2",""
"2020/07/30 4:19:13 PM CDT","2020-07-30","Santa Fe","Intermedia","No","","","Sí","15","3","Sí","1","1","0",""
"2020/07/30 4:24:19 PM CDT","2020-07-30","Maestro","Moscos","No","","","Sí","27","17","Sí","6","","5",""
"2020/07/30 4:24:42 PM CDT","2020-07-30","San Francisco de Asís","Infantil","Sí","6","5","Sí","8","5","Sí","6","4","4",""
"2020/07/30 4:25:48 PM CDT","2020-07-30","Maestro","Intermedia","No","","","Sí","25","19","Sí","6","","5",""
"2020/07/30 4:26:19 PM CDT","2020-07-30","San Francisco de Asís","Juvenil","Sí","5","3","Sí","9","6","Sí","6","4","3",""
"2020/07/30 4:32:14 PM CDT","2020-07-30","Milles Rock","Infantil","No","","","Sí","15","6","Sí","1","5","4",""
"2020/07/30 4:42:15 PM CDT","2020-07-30","Nimajuyú","Intermedia","Sí","12","10","Sí","12","6","Sí","6","5","5",""
"2020/07/30 4:51:52 PM CDT","2020-07-30","Florida","Moscos","Sí","5","5","Sí","2","5","Sí","5","5","5",""
"2020/07/30 4:54:56 PM CDT","2020-07-30","Lourdes","Juvenil","No","","","Sí","16","15","Sí","5","3","2",""
"2020/07/30 5:08:22 PM CDT","2020-07-30","Roosevelt","Intermedia","No","","","Sí","15","15","Sí","3","5","5",""
"2020/07/30 5:08:49 PM CDT","2020-07-30","Capitalinos B-EMEFUT","Equipo Mayor","No","","","Sí","20","20","Sí","3","5","5",""
"2020/07/30 5:12:13 PM CDT","2020-07-30","Paraiso 2","Infantil","No","","","Sí","30","2","Sí","3","4","1",""
"2020/07/30 5:16:57 PM CDT","2020-07-30","Nimajuyú","Moscos","No","","","Sí","12","8","Sí","1","4","2",""
"2020/07/30 5:17:42 PM CDT","2020-07-30","Nimajuyú","Infantil","No","","","Sí","22","21","Sí","1","5","4",""
"2020/07/30 5:18:30 PM CDT","2020-07-30","Chácara","Moscos","No","","","Sí","14","13","Sí","5","5","5",""
"2020/07/30 5:21:06 PM CDT","2020-07-30","Paraiso 2","Juvenil","No","","","Sí","8","4","Sí","1","3","2",""
